Dst Port,Bwd Packets/s,Fwd Seg Size Min,Flow IAT Mean,Down/Up Ratio,FWD Init Win Bytes,Flow IAT Max,Flow Packets/s,Packet Length Max,Src Port,Flow Duration,Bwd Init Win Bytes,Fwd Packet Length Max,Bwd IAT Mean,PSH Flag Count,Fwd Packet Length Mean,Packet Length Mean,Flow Bytes/s,Bwd Packet Length Max,Total Bwd packets,FIN Flag Count,Bwd Packet Length Mean,Total Fwd Packet,Bwd IAT Total,Label
80,29.8347,5,326.6574,0,975.0977,322.5885,11313.5546,1444,61459,298,975.0832,903.5148,317.2851,1,954.4234,22.274,550.7056,44.3808,546.2354,2,841.4041,4050,697.1008,DoS
23,912.5891,0,691.5563,4,629.3467,471.0665,7.5462,455,41196,254020,721.2119,552.4166,464.8434,0,603.8515,76.9832,899.607,470.017,963.335,0,831.285,49,462.0344,Reconnaissance
443,53.2275,5,863.2905,1,981.5947,635.8681,470.3938,206,38308,29762,319.0721,415.8201,6.6314,2,62.7865,597.5087,917.7824,920.4546,832.3482,5,206.1058,12,932.426,Benign
8080,815.0482,0,508.8865,2,540.3008,615.9945,481.0418,1117,58197,25801,851.6944,465.5772,78.0775,5,740.8094,417.3793,718.0443,918.3248,606.1328,3,806.6243,8,974.9767,Benign
80,652.7102,0,724.7847,3,628.5222,844.3375,61.4597,756,65273,39693,242.0092,133.4443,606.9712,4,885.6805,577.7049,406.9417,209.8014,804.8924,2,812.2457,13,15.6977,Benign
8080,126.4703,2,305.7757,3,268.711,411.1796,406.973,918,38360,31558,955.6489,977.054,288.1306,3,510.8211,792.7859,971.1365,158.3903,789.2891,3,310.976,9,25.5913,Benign
445,552.586,2,135.2379,1,957.3399,79.8281,19.8697,50,61174,691333,511.1398,739.1535,361.6087,4,559.4414,472.506,741.8958,469.5627,696.2383,5,20.0205,11,825.4695,Exploits
8080,467.4996,5,146.5759,5,659.8041,90.6085,390.5722,927,26268,13340,595.8228,864.9722,415.5131,2,280.5547,817.4753,422.7697,696.5978,753.6028,5,173.7932,18,574.5943,Benign
443,601.6409,3,266.1641,0,692.196,171.8886,404.3152,1141,1575,28095,413.8688,39.3792,81.4768,0,314.9393,444.4436,859.4163,307.7477,250.503,3,755.929,7,862.141,Benign
21,41.9228,5,178.3026,2,206.7062,198.769,41.2937,238,30026,124890,801.5772,76.4426,838.2794,0,760.3128,291.7937,377.8578,9.0009,301.6893,2,334.7927,19,249.4381,Reconnaissance
